split_a,image_a,path_a,split_b,image_b,path_b,phash_dist,dhash_dist,ssim_256,confirmed_near_duplicate,old_split_a,old_split_b,old_rel_image_a,old_rel_image_b,component_id_a,component_id_b,md5_a,md5_b,source_group_a,source_group_b,instances_a,instances_b
train,val__P-W5-V0013.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0013.jpg,val,train__P-W5-0013.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0013.jpg,8,4,0.654106,False,val,train,P-W5-V0013.jpg,P-W5-0013.jpg,373,10,4dc333e14c577d0608783fc0e0f46ecb,5987e6e053741e4a63bc79f4f9b40092,p-w5-v0013,p-w5,48,48
train,val__C-W6-V0014.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W6-V0014.jpg,test,train__C-W6-0127.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0127.jpg,26,5,0.648514,False,val,train,C-W6-V0014.jpg,C-W6-0127.jpg,192,4,4e26dd2e75d0f40c1ae1d3f1c1e2a72c,fd71d3bba44d5c26b48fd9dcd22c7290,c-w6-v0014,c-w6,35,14
train,val__P-W5-V0013.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0013.jpg,val,train__P-W5-0015.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0015.jpg,4,3,0.63897,False,val,train,P-W5-V0013.jpg,P-W5-0015.jpg,373,10,4dc333e14c577d0608783fc0e0f46ecb,3d18aa90be1ec8eefe9dc3662ab9eb15,p-w5-v0013,p-w5,48,54
train,val__P-W5-V0012.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0012.jpg,val,train__P-W5-0016.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0016.jpg,6,3,0.636921,False,val,train,P-W5-V0012.jpg,P-W5-0016.jpg,372,10,1e19c65b3c95636f51f634bea0221374,a31feccf15d6f041231439f3ad67c676,p-w5-v0012,p-w5,56,56
train,val__P-W5-V0012.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0012.jpg,val,train__P-W5-0012.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0012.jpg,8,5,0.613024,False,val,train,P-W5-V0012.jpg,P-W5-0012.jpg,372,10,1e19c65b3c95636f51f634bea0221374,99353604a4864397b9a442e1b33ad553,p-w5-v0012,p-w5,56,49
train,train__C-W2-0162.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W2-0162.jpg,test,val__C-W3-V0025.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\val__C-W3-V0025.jpg,5,7,0.602195,False,train,val,C-W2-0162.jpg,C-W3-V0025.jpg,0,98,5dd2be78963614638fd955f5ff281d92,92e4239659a65c8df72c79e9a0e7c168,c-w2,c-w3-v0025,434,450
train,val__C-W3-V0004.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0004.jpg,val,train__C-W3-0031.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0031.jpg,9,4,0.589699,False,val,train,C-W3-V0004.jpg,C-W3-0031.jpg,83,1,f57203237f17f41016ed3053fa04d79d,f35b82ff76ec2cc801c9d3d5f556b406,c-w3-v0004,c-w3,243,231
train,val__C-W3-V0036.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0036.jpg,val,train__C-W3-0001.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0001.jpg,9,1,0.586804,False,val,train,C-W3-V0036.jpg,C-W3-0001.jpg,104,1,0886a3c3432ab3edac80188650383252,af6c1cb186fe14231baf02c62a955db0,c-w3-v0036,c-w3,287,303
train,val__P-W5-V0013.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0013.jpg,val,train__P-W5-0017.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0017.jpg,10,5,0.577637,False,val,train,P-W5-V0013.jpg,P-W5-0017.jpg,373,10,4dc333e14c577d0608783fc0e0f46ecb,8e7e4964ba6e5127f586ed86a6744330,p-w5-v0013,p-w5,48,49
train,val__C-W6-V0016.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W6-V0016.jpg,test,train__C-W6-0029.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0029.jpg,24,6,0.576704,False,val,train,C-W6-V0016.jpg,C-W6-0029.jpg,194,4,176bee5b894abb53012559ed8140fad6,f6cdd735128503475135167f71a5fb3b,c-w6-v0016,c-w6,48,47
train,val__C-W3-V0034.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0034.jpg,val,train__C-W3-0029.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0029.jpg,9,2,0.569144,False,val,train,C-W3-V0034.jpg,C-W3-0029.jpg,102,1,9d8d80edbf94e22821da53e19357ab41,e36203e439d7b6655ed553010db5028d,c-w3-v0034,c-w3,245,243
train,val__C-W3-V0063.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0063.jpg,val,train__C-W3-0029.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0029.jpg,9,2,0.569144,False,val,train,C-W3-V0063.jpg,C-W3-0029.jpg,102,1,9d8d80edbf94e22821da53e19357ab41,e36203e439d7b6655ed553010db5028d,c-w3-v0063,c-w3,243,243
train,val__C-W3-V0002.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0002.jpg,val,train__C-W3-0029.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0029.jpg,7,3,0.567968,False,val,train,C-W3-V0002.jpg,C-W3-0029.jpg,81,1,fbc2b6dcc329d1468eb966b09f0ddca0,e36203e439d7b6655ed553010db5028d,c-w3-v0002,c-w3,255,243
train,val__P-W5-V0013.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0013.jpg,val,train__P-W5-0004.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0004.jpg,13,6,0.561887,False,val,train,P-W5-V0013.jpg,P-W5-0004.jpg,373,10,4dc333e14c577d0608783fc0e0f46ecb,99b7b60309cce1e0b70856feb80e0613,p-w5-v0013,p-w5,48,47
train,val__C-W3-V0058.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0058.jpg,val,train__C-W3-0044.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0044.jpg,11,2,0.549438,False,val,train,C-W3-V0058.jpg,C-W3-0044.jpg,125,1,9b9c1cb7aae7c7c53c718bf8be0d0407,94a57fec15e30528f1ab597d8838b5aa,c-w3-v0058,c-w3,355,325
train,val__P-W5-V0012.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0012.jpg,val,train__P-W5-0017.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0017.jpg,8,5,0.534574,False,val,train,P-W5-V0012.jpg,P-W5-0017.jpg,372,10,1e19c65b3c95636f51f634bea0221374,8e7e4964ba6e5127f586ed86a6744330,p-w5-v0012,p-w5,56,49
train,val__C-W4-V0038.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W4-V0038.jpg,test,train__C-W4-0044.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W4-0044.jpg,15,5,0.502954,False,val,train,C-W4-V0038.jpg,C-W4-0044.jpg,159,2,f8fe0c511435f7c5b0fed3f32319bc7e,2734ca2563247fc7e85c1ead77ad3bdd,c-w4-v0038,c-w4,243,237
train,val__P-W5-V0012.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0012.jpg,val,train__P-W5-0013.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0013.jpg,12,6,0.498116,False,val,train,P-W5-V0012.jpg,P-W5-0013.jpg,372,10,1e19c65b3c95636f51f634bea0221374,5987e6e053741e4a63bc79f4f9b40092,p-w5-v0012,p-w5,56,48
train,train__P-W4-0051.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__P-W4-0051.jpg,val,train__P-W5-0008.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0008.jpg,18,6,0.456351,False,train,train,P-W4-0051.jpg,P-W5-0008.jpg,9,10,d49a875be0e332501094a999b8b61382,f5a1af899beea44e700f0da9fac77657,p-w4,p-w5,62,58
train,val__C-W3-V0034.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0034.jpg,val,train__C-W3-0030.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0030.jpg,9,2,0.449397,False,val,train,C-W3-V0034.jpg,C-W3-0030.jpg,102,1,9d8d80edbf94e22821da53e19357ab41,98fcf4501bf4673f4ecdfa0d5cc4a468,c-w3-v0034,c-w3,245,247
train,val__C-W3-V0063.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0063.jpg,val,train__C-W3-0030.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0030.jpg,9,2,0.449397,False,val,train,C-W3-V0063.jpg,C-W3-0030.jpg,102,1,9d8d80edbf94e22821da53e19357ab41,98fcf4501bf4673f4ecdfa0d5cc4a468,c-w3-v0063,c-w3,243,247
train,val__C-W6-V0015.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W6-V0015.jpg,test,train__C-W6-0127.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0127.jpg,19,5,0.447271,False,val,train,C-W6-V0015.jpg,C-W6-0127.jpg,193,4,529fdc3c8e2023ce817e5192fb5e33cf,fd71d3bba44d5c26b48fd9dcd22c7290,c-w6-v0015,c-w6,11,14
train,train__C-W1-0120.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0120.jpg,test,val__C-W1-V0011.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\val__C-W1-V0011.jpg,6,3,0.428659,False,train,val,C-W1-0120.jpg,C-W1-V0011.jpg,0,22,71c2b78df6cbbaadcc466e6a08f60622,7def692038dc1778660a21d6dcd27951,c-w1,c-w1-v0011,467,444
train,val__C-W1-V0001.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W1-V0001.jpg,test,train__C-W6-0127.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0127.jpg,25,6,0.421767,False,val,train,C-W1-V0001.jpg,C-W6-0127.jpg,12,4,2dfccd7b58bed571d96e4f9fb725558f,fd71d3bba44d5c26b48fd9dcd22c7290,c-w1-v0001,c-w6,395,14
train,train__P-W4-0001.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__P-W4-0001.jpg,val,train__P-W5-0008.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0008.jpg,13,5,0.419606,False,train,train,P-W4-0001.jpg,P-W5-0008.jpg,9,10,d766831e28b272c687d5178476292373,f5a1af899beea44e700f0da9fac77657,p-w4,p-w5,58,58
train,train__C-W2-0137.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W2-0137.jpg,test,train__C-W6-0146.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0146.jpg,16,5,0.412037,False,train,train,C-W2-0137.jpg,C-W6-0146.jpg,0,4,eeb39db6c9efec04ce6901786b234673,bc26b5520633a8ea6ce719dd23572998,c-w2,c-w6,331,128
train,val__C-W1-V0001.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W1-V0001.jpg,test,train__C-W6-0074.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0074.jpg,25,5,0.410436,False,val,train,C-W1-V0001.jpg,C-W6-0074.jpg,12,4,2dfccd7b58bed571d96e4f9fb725558f,02f929fbf109a0cffcfd2277fb88b322,c-w1-v0001,c-w6,395,14
train,train__P-W4-0049.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__P-W4-0049.jpg,val,train__P-W5-0008.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0008.jpg,18,5,0.408843,False,train,train,P-W4-0049.jpg,P-W5-0008.jpg,9,10,ae97030d317976cb5ee485c5b4fee207,f5a1af899beea44e700f0da9fac77657,p-w4,p-w5,74,58
train,train__P-W4-0001.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__P-W4-0001.jpg,val,train__P-W5-0007.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0007.jpg,14,6,0.402078,False,train,train,P-W4-0001.jpg,P-W5-0007.jpg,9,10,d766831e28b272c687d5178476292373,0092b3a4be28ca05a47fb25d43cf712e,p-w4,p-w5,58,62
train,val__P-W5-V0015.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__P-W5-V0015.jpg,val,train__P-W5-0020.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__P-W5-0020.jpg,10,6,0.398133,False,val,train,P-W5-V0015.jpg,P-W5-0020.jpg,374,10,35ef7a7c95b1ba403f97dccd22abd3cc,dcafa001a8e9827b89e0e2936450b7ff,p-w5-v0015,p-w5,57,49
train,val__C-W3-V0047.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0047.jpg,val,train__C-W3-0044.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0044.jpg,11,2,0.397824,False,val,train,C-W3-V0047.jpg,C-W3-0044.jpg,114,1,b39ce8b06422c9b9874517c77c71a1b5,94a57fec15e30528f1ab597d8838b5aa,c-w3-v0047,c-w3,327,325
train,val__C-W3-V0034.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0034.jpg,val,train__C-W3-0028.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0028.jpg,9,1,0.389292,False,val,train,C-W3-V0034.jpg,C-W3-0028.jpg,102,1,9d8d80edbf94e22821da53e19357ab41,651409df7d48a33c163a7b56bc1fd6ed,c-w3-v0034,c-w3,245,239
train,val__C-W3-V0063.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0063.jpg,val,train__C-W3-0028.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0028.jpg,9,1,0.389292,False,val,train,C-W3-V0063.jpg,C-W3-0028.jpg,102,1,9d8d80edbf94e22821da53e19357ab41,651409df7d48a33c163a7b56bc1fd6ed,c-w3-v0063,c-w3,243,239
train,val__C-W6-V0016.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W6-V0016.jpg,test,train__C-W6-0074.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0074.jpg,30,6,0.381757,False,val,train,C-W6-V0016.jpg,C-W6-0074.jpg,194,4,176bee5b894abb53012559ed8140fad6,02f929fbf109a0cffcfd2277fb88b322,c-w6-v0016,c-w6,48,14
train,val__C-W3-V0001.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0001.jpg,val,train__C-W3-0029.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0029.jpg,18,3,0.381548,False,val,train,C-W3-V0001.jpg,C-W3-0029.jpg,80,1,1f6187704bdd2f9a69f05102040bb798,e36203e439d7b6655ed553010db5028d,c-w3-v0001,c-w3,253,243
train,train__C-W1-0119.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0119.jpg,test,val__C-W1-V0011.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\val__C-W1-V0011.jpg,6,4,0.377293,False,train,val,C-W1-0119.jpg,C-W1-V0011.jpg,0,22,061aaa573a724eb23c692962cd9eeed5,7def692038dc1778660a21d6dcd27951,c-w1,c-w1-v0011,445,444
train,train__C-W1-0029.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0029.jpg,test,val__C-W1-V0011.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\val__C-W1-V0011.jpg,2,2,0.374471,False,train,val,C-W1-0029.jpg,C-W1-V0011.jpg,0,22,5a0c4db7e4f825a9e411151d3433885d,7def692038dc1778660a21d6dcd27951,c-w1,c-w1-v0011,436,444
train,val__C-W3-V0033.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0033.jpg,val,train__C-W3-0100.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0100.jpg,18,5,0.371967,False,val,train,C-W3-V0033.jpg,C-W3-0100.jpg,101,1,91b77e401e3b26264a8f382561436fc8,7276bf573489d965021eaf2ee5ee1ac0,c-w3-v0033,c-w3,251,243
train,val__C-W3-V0062.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0062.jpg,val,train__C-W3-0100.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0100.jpg,18,5,0.371967,False,val,train,C-W3-V0062.jpg,C-W3-0100.jpg,101,1,91b77e401e3b26264a8f382561436fc8,7276bf573489d965021eaf2ee5ee1ac0,c-w3-v0062,c-w3,249,243
train,train__C-W1-0050.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0050.jpg,test,train__C-W6-0127.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0127.jpg,21,5,0.370152,False,train,train,C-W1-0050.jpg,C-W6-0127.jpg,0,4,e4f3eb7f1c0f0d341f23daf929e1a53b,fd71d3bba44d5c26b48fd9dcd22c7290,c-w1,c-w6,335,14
train,train__C-W1-0050.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0050.jpg,test,train__C-W6-0039.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0039.jpg,31,6,0.368154,False,train,train,C-W1-0050.jpg,C-W6-0039.jpg,0,4,e4f3eb7f1c0f0d341f23daf929e1a53b,7447f8bed971563f0dc4f1e7a573e4df,c-w1,c-w6,335,1
train,val__C-W3-V0001.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\val__C-W3-V0001.jpg,val,train__C-W3-0031.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\val\train__C-W3-0031.jpg,8,2,0.365749,False,val,train,C-W3-V0001.jpg,C-W3-0031.jpg,80,1,1f6187704bdd2f9a69f05102040bb798,f35b82ff76ec2cc801c9d3d5f556b406,c-w3-v0001,c-w3,253,231
train,train__C-W1-0050.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\train\train__C-W1-0050.jpg,test,train__C-W6-0074.jpg,D:\Broiler chicken detection dataset\00_DATASET\PIO-GRDB-MD5-7_1_2\images\test\train__C-W6-0074.jpg,33,4,0.360922,False,train,train,C-W1-0050.jpg,C-W6-0074.jpg,0,4,e4f3eb7f1c0f0d341f23daf929e1a53b,02f929fbf109a0cffcfd2277fb88b322,c-w1,c-w6,335,14
